,Area Code,Local Authority Name,Area name,Area of Domestic Buildings,Area of Domestic Gardens,Area of Non Domestic Buildings,Area of Road,Area of Rail,Area of Path,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Total Area of All Land Types,Area of Admin Geography,% Area of Domestic Buildings,% Area of Domestic Gardens,% Area of Non Domestic Buildings,% Area of Road,% Area of Rail,% Area of Path,% Area of Greenspace,% Area of Water,% Area of Other Land Uses,% Area of Unclassified Land,% Total Area of All Land Types,Quality of Fit Indicator,Cluster
464,00BBGR,Newham,Plaistow North,193.77,275.32,44.8,212.33,31.2,19.17,115.49,0.0,97.96,0.0,990.03,981.0,19.6,27.8,4.5,21.4,3.2,1.9,11.7,0.0,9.9,0.0,100.0,0.92,3
465,00BBGS,Newham,Plaistow South,229.06,309.33,82.98,294.1,0.0,20.78,265.24,0.22,184.48,0.0,1386.18,1386.44,16.5,22.3,6.0,21.2,0.0,1.5,19.1,0.0,13.3,0.0,100.0,-0.02,3
466,00BBGT,Newham,Royal Docks,102.47,123.68,350.02,315.07,17.65,40.18,540.95,906.84,1198.3,0.0,3595.16,4793.16,2.9,3.4,9.7,8.8,0.5,1.1,15.0,25.2,33.3,0.0,100.0,-24.99,1
467,00BBGU,Newham,Stratford and New Town,226.67,251.13,508.03,516.86,167.73,47.81,812.84,203.07,1376.58,0.0,4110.72,4237.38,5.5,6.1,12.4,12.6,4.1,1.2,19.8,4.9,33.5,0.0,100.0,-2.99,0
468,00BBGW,Newham,Wall End,201.71,339.23,49.08,242.29,57.79,10.27,411.47,0.15,68.41,0.0,1380.4,1379.31,14.6,24.6,3.6,17.6,4.2,0.7,29.8,0.0,5.0,0.0,100.0,0.08,2
469,00BBGX,Newham,West Ham,192.67,272.98,65.02,261.74,0.18,42.7,334.43,0.34,150.77,0.0,1320.82,1335.18,14.6,20.7,4.9,19.8,0.0,3.2,25.3,0.0,11.4,0.0,100.0,-1.08,0
470,00BCFY,Redbridge,Aldborough,257.77,778.47,112.7,477.32,34.71,26.71,6543.32,189.53,268.59,0.0,8689.12,8612.17,3.0,9.0,1.3,5.5,0.4,0.3,75.3,2.2,3.1,0.0,100.0,0.89,4
471,00BCFZ,Redbridge,Barkingside,253.91,771.1,52.8,313.21,0.0,2.0,64.82,0.0,75.2,0.0,1533.05,1526.58,16.6,50.3,3.4,20.4,0.0,0.1,4.2,0.0,4.9,0.0,100.0,0.42,2
472,00BCGA,Redbridge,Bridge,237.21,804.8,56.85,384.93,25.29,8.59,981.56,14.4,148.48,0.0,2662.11,2579.16,8.9,30.2,2.1,14.5,0.9,0.3,36.9,0.5,5.6,0.0,100.0,3.22,2
473,00BCGB,Redbridge,Chadwell,235.23,644.6,53.55,302.36,2.32,7.09,144.91,0.0,108.82,0.0,1498.88,1514.49,15.7,43.0,3.6,20.2,0.2,0.5,9.7,0.0,7.3,0.0,100.0,-1.03,2
474,00BCGC,Redbridge,Church End,209.55,567.63,84.3,304.68,10.48,9.05,189.34,1.14,116.35,0.0,1492.51,1491.52,14.0,38.0,5.6,20.4,0.7,0.6,12.7,0.1,7.8,0.0,100.0,0.07,2
475,00BCGD,Redbridge,Clayhall,275.07,905.4,102.81,377.54,0.0,4.65,618.26,7.87,199.74,0.0,2491.33,2491.48,11.0,36.3,4.1,15.2,0.0,0.2,24.8,0.3,8.0,0.0,100.0,-0.01,2
476,00BCGE,Redbridge,Clementswood,195.05,452.95,120.42,271.71,0.05,7.41,88.28,0.0,116.87,0.0,1252.75,1271.49,15.6,36.2,9.6,21.7,0.0,0.6,7.0,0.0,9.3,0.0,100.0,-1.47,3
477,00BCGF,Redbridge,Cranbrook,261.31,684.45,43.38,369.48,0.0,35.41,900.3,48.3,102.32,0.0,2444.95,2406.36,10.7,28.0,1.8,15.1,0.0,1.4,36.8,2.0,4.2,0.0,100.0,1.6,2
478,00BCGG,Redbridge,Fairlop,272.33,812.69,111.54,329.49,84.44,29.96,1887.88,4.43,221.41,0.0,3754.17,3593.98,7.3,21.6,3.0,8.8,2.2,0.8,50.3,0.1,5.9,0.0,100.0,4.46,4
479,00BCGH,Redbridge,Fullwell,265.34,863.17,50.64,334.62,0.0,6.08,569.39,1.07,95.69,0.0,2186.0,2185.47,12.1,39.5,2.3,15.3,0.0,0.3,26.0,0.0,4.4,0.0,100.0,0.02,2
480,00BCGJ,Redbridge,Goodmayes,219.52,596.74,37.73,258.73,64.57,18.78,382.69,15.49,66.88,0.0,1661.12,1647.73,13.2,35.9,2.3,15.6,3.9,1.1,23.0,0.9,4.0,0.0,100.0,0.81,2
481,00BCGK,Redbridge,Hainault,260.97,859.97,149.49,399.36,0.0,22.97,3402.26,32.38,195.33,0.0,5322.73,5641.78,4.9,16.2,2.8,7.5,0.0,0.4,63.9,0.6,3.7,0.0,100.0,-5.66,4
482,00BCGL,Redbridge,Loxford,200.07,368.59,56.37,261.11,1.01,11.43,248.82,27.43,96.14,0.0,1270.98,1287.35,15.7,29.0,4.4,20.5,0.1,0.9,19.6,2.2,7.6,0.0,100.0,-1.27,2
483,00BCGM,Redbridge,Mayfield,262.02,886.92,38.23,311.26,0.0,20.02,290.9,23.29,66.47,0.0,1899.1,1883.57,13.8,46.7,2.0,16.4,0.0,1.1,15.3,1.2,3.5,0.0,100.0,0.82,2
484,00BCGN,Redbridge,Monkhams,295.27,1143.47,70.03,364.99,0.0,8.82,1090.35,14.3,126.11,0.0,3113.34,3074.6,9.5,36.7,2.2,11.7,0.0,0.3,35.0,0.5,4.1,0.0,100.0,1.26,2
485,00BCGP,Redbridge,Newbury,256.72,784.78,93.1,321.46,59.22,4.54,460.78,0.79,122.44,0.0,2103.81,2116.62,12.2,37.3,4.4,15.3,2.8,0.2,21.9,0.0,5.8,0.0,100.0,-0.61,2
486,00BCGQ,Redbridge,Roding,222.14,671.51,70.14,397.98,13.19,12.8,843.8,22.28,123.94,0.0,2377.78,2344.04,9.3,28.2,2.9,16.7,0.6,0.5,35.5,0.9,5.2,0.0,100.0,1.44,2
487,00BCGR,Redbridge,Seven Kings,238.54,657.48,134.71,283.54,23.1,25.54,503.59,3.55,213.06,0.0,2083.1,2082.15,11.5,31.6,6.5,13.6,1.1,1.2,24.2,0.2,10.2,0.0,100.0,0.05,2
488,00BCGS,Redbridge,Snaresbrook,259.23,791.37,79.07,311.83,10.93,12.95,370.65,32.16,117.83,0.0,1986.03,1985.54,13.1,39.8,4.0,15.7,0.6,0.7,18.7,1.6,5.9,0.0,100.0,0.02,2
489,00BCGT,Redbridge,Valentines,241.03,610.67,77.35,274.14,68.83,1.66,143.17,15.62,52.04,0.0,1484.51,1502.46,16.2,41.1,5.2,18.5,4.6,0.1,9.6,1.1,3.5,0.0,100.0,-1.19,2
490,00BCGU,Redbridge,Wanstead,288.83,850.16,42.67,434.7,0.0,27.43,3228.48,230.65,114.6,0.0,5217.52,5197.62,5.5,16.3,0.8,8.3,0.0,0.5,61.9,4.4,2.2,0.0,100.0,0.38,4
491,00BDFW,Richmond upon Thames,Barnes,262.16,633.89,61.03,291.62,0.71,54.24,969.22,647.15,147.23,0.0,3067.26,3009.72,8.5,20.7,2.0,9.5,0.0,1.8,31.6,21.1,4.8,0.0,100.0,1.91,1
492,00BDFX,Richmond upon Thames,East Sheen,265.71,676.48,54.55,300.1,6.63,31.27,4237.17,55.28,107.54,0.0,5734.73,5835.11,4.6,11.8,1.0,5.2,0.1,0.5,73.9,1.0,1.9,0.0,100.0,-1.72,4
493,00BDFY,Richmond upon Thames,Fulwell and Hampton Hill,215.12,599.9,81.95,260.77,12.71,19.77,598.75,23.95,111.82,0.0,1924.75,1917.98,11.2,31.2,4.3,13.5,0.7,1.0,31.1,1.2,5.8,0.0,100.0,0.35,2
494,00BDFZ,Richmond upon Thames,"Ham, Petersham and Richmond Riverside",230.94,772.38,90.58,414.19,0.0,80.39,7263.96,390.16,241.4,0.0,9484.0,9446.01,2.4,8.1,1.0,4.4,0.0,0.8,76.6,4.1,2.5,0.0,100.0,0.4,4
495,00BDGA,Richmond upon Thames,Hampton,246.66,871.7,126.64,379.66,25.04,47.86,4225.61,719.17,397.64,0.0,7039.98,6876.82,3.5,12.4,1.8,5.4,0.4,0.7,60.0,10.2,5.6,0.0,100.0,2.37,4
496,00BDGB,Richmond upon Thames,Hampton North,212.55,670.94,69.35,280.12,0.57,26.83,494.48,15.64,169.88,0.0,1940.37,1949.61,11.0,34.6,3.6,14.4,0.0,1.4,25.5,0.8,8.8,0.0,100.0,-0.47,2
497,00BDGC,Richmond upon Thames,Hampton Wick,228.53,619.21,67.06,259.9,1.14,27.42,1188.26,235.28,156.7,0.0,2783.51,2745.73,8.2,22.2,2.4,9.3,0.0,1.0,42.7,8.5,5.6,0.0,100.0,1.38,4
498,00BDGD,Richmond upon Thames,Heathfield,210.2,734.93,30.07,289.62,8.36,7.53,503.23,30.68,75.32,0.0,1889.95,1912.03,11.1,38.9,1.6,15.3,0.4,0.4,26.6,1.6,4.0,0.0,100.0,-1.15,2
499,00BDGE,Richmond upon Thames,Kew,249.02,608.13,110.86,325.58,24.61,25.24,1573.11,130.43,327.58,0.0,3374.56,3574.7,7.4,18.0,3.3,9.6,0.7,0.7,46.6,3.9,9.7,0.0,100.0,-5.6,4
500,00BDGF,Richmond upon Thames,Mortlake and Barnes Common,222.34,379.23,83.61,278.75,55.97,40.37,665.01,13.39,125.56,0.0,1864.22,1938.05,11.9,20.3,4.5,15.0,3.0,2.2,35.7,0.7,6.7,0.0,100.0,-3.81,2
501,00BDGG,Richmond upon Thames,North Richmond,216.97,491.43,85.5,275.15,32.98,28.52,1416.07,28.99,144.67,0.0,2720.29,2800.47,8.0,18.1,3.1,10.1,1.2,1.0,52.1,1.1,5.3,0.0,100.0,-2.86,4
502,00BDGH,Richmond upon Thames,St Margarets and North Twickenham,244.78,641.58,104.39,317.66,30.47,16.53,391.94,58.63,185.26,0.0,1991.25,2006.48,12.3,32.2,5.2,16.0,1.5,0.8,19.7,2.9,9.3,0.0,100.0,-0.76,2
503,00BDGJ,Richmond upon Thames,South Richmond,244.72,622.64,133.51,298.19,13.45,44.15,1281.32,6.34,125.52,0.0,2769.84,2691.98,8.8,22.5,4.8,10.8,0.5,1.6,46.3,0.2,4.5,0.0,100.0,2.89,4
504,00BDGK,Richmond upon Thames,South Twickenham,220.44,563.98,89.37,237.72,59.17,18.17,394.38,4.65,109.39,0.0,1697.28,1726.62,13.0,33.2,5.3,14.0,3.5,1.1,23.2,0.3,6.4,0.0,100.0,-1.7,2
505,00BDGL,Richmond upon Thames,Teddington,227.98,605.01,157.38,304.54,21.15,29.28,2620.06,64.84,190.22,0.0,4220.45,4296.26,5.4,14.3,3.7,7.2,0.5,0.7,62.1,1.5,4.5,0.0,100.0,-1.76,4
506,00BDGM,Richmond upon Thames,Twickenham Riverside,210.54,507.98,105.18,236.28,9.98,30.09,492.8,214.36,151.55,0.0,1958.76,1962.13,10.7,25.9,5.4,12.1,0.5,1.5,25.2,10.9,7.7,0.0,100.0,-0.17,2
507,00BDGN,Richmond upon Thames,West Twickenham,195.03,660.68,61.91,280.04,0.0,17.68,1091.64,25.79,120.12,0.0,2452.89,2455.77,8.0,26.9,2.5,11.4,0.0,0.7,44.5,1.1,4.9,0.0,100.0,-0.12,4
508,00BDGP,Richmond upon Thames,Whitton,202.45,690.55,46.84,261.7,21.94,7.52,314.24,6.13,87.35,0.0,1638.71,1622.84,12.4,42.1,2.9,16.0,1.3,0.5,19.2,0.4,5.3,0.0,100.0,0.98,2
509,00BEGC,Southwark,Brunswick Park,149.53,202.38,105.16,186.59,5.43,14.86,120.12,0.0,135.31,0.0,919.38,934.74,16.3,22.0,11.4,20.3,0.6,1.6,13.1,0.0,14.7,0.0,100.0,-1.64,0
510,00BEGD,Southwark,Camberwell Green,120.25,171.34,150.96,216.34,20.89,8.91,110.45,0.0,181.59,0.0,980.72,974.75,12.3,17.5,15.4,22.1,2.1,0.9,11.3,0.0,18.5,0.0,100.0,0.61,0
511,00BEGE,Southwark,Cathedrals,144.82,75.39,394.96,409.43,89.02,9.43,194.38,25.72,285.22,0.0,1628.35,1763.21,8.9,4.6,24.3,25.1,5.5,0.6,11.9,1.6,17.5,0.0,100.0,-7.65,0
512,00BEGF,Southwark,Chaucer,60.0,30.05,158.3,201.59,0.0,13.79,176.64,0.32,174.16,0.0,814.86,822.5,7.4,3.7,19.4,24.7,0.0,1.7,21.7,0.0,21.4,0.0,100.0,-0.93,0
513,00BEGG,Southwark,College,215.68,736.71,94.12,373.37,10.15,30.08,1549.91,3.9,214.23,0.14,3228.29,3233.8,6.7,22.8,2.9,11.6,0.3,0.9,48.0,0.1,6.6,0.0,100.0,-0.17,4
514,00BEGH,Southwark,East Dulwich,236.21,402.25,65.85,221.51,0.53,1.5,26.57,0.0,60.3,0.0,1014.72,1018.52,23.3,39.6,6.5,21.8,0.1,0.1,2.6,0.0,5.9,0.0,100.0,-0.37,3
515,00BEGJ,Southwark,East Walworth,110.16,104.89,132.4,250.45,0.0,21.94,299.61,29.68,182.33,0.0,1131.45,1143.76,9.7,9.3,11.7,22.1,0.0,1.9,26.5,2.6,16.1,0.0,100.0,-1.08,0
516,00BEGK,Southwark,Faraday,105.78,78.27,62.41,173.94,0.0,19.42,306.01,0.0,129.55,0.0,875.38,876.83,12.1,8.9,7.1,19.9,0.0,2.2,35.0,0.0,14.8,0.0,100.0,-0.16,0
517,00BEGL,Southwark,Grange,110.38,61.04,285.25,241.72,24.61,17.99,173.43,0.24,284.9,0.0,1199.56,1204.51,9.2,5.1,23.8,20.2,2.1,1.5,14.5,0.0,23.8,0.0,100.0,-0.41,0
518,00BEGM,Southwark,Livesey,145.22,174.57,250.76,283.97,37.84,16.24,186.38,0.0,342.61,0.0,1437.57,1436.33,10.1,12.1,17.4,19.8,2.6,1.1,13.0,0.0,23.8,0.0,100.0,0.09,0
519,00BEGN,Southwark,Newington,117.51,118.31,95.64,187.04,16.5,10.05,157.61,0.0,129.29,0.0,831.97,832.3,14.1,14.2,11.5,22.5,2.0,1.2,18.9,0.0,15.5,0.0,100.0,-0.04,0
520,00BEGP,Southwark,Nunhead,214.7,299.25,50.79,220.18,23.25,14.84,382.8,0.0,106.54,0.0,1312.35,1322.0,16.4,22.8,3.9,16.8,1.8,1.1,29.2,0.0,8.1,0.0,100.0,-0.73,2
521,00BEGQ,Southwark,Peckham,144.24,162.51,71.46,203.65,0.0,6.58,132.84,0.0,158.9,0.0,880.18,872.46,16.4,18.5,8.1,23.1,0.0,0.7,15.1,0.0,18.1,0.0,100.0,0.88,3
522,00BEGR,Southwark,Peckham Rye,224.08,465.82,50.37,273.02,0.0,54.15,1062.76,4.59,112.56,0.0,2247.35,2253.19,10.0,20.7,2.2,12.1,0.0,2.4,47.3,0.2,5.0,0.0,100.0,-0.26,4
523,00BEGS,Southwark,Riverside,96.84,60.02,213.13,219.04,88.99,9.82,125.15,226.21,263.5,0.0,1302.69,1332.25,7.4,4.6,16.4,16.8,6.8,0.8,9.6,17.4,20.2,0.0,100.0,-2.22,0
524,00BEGT,Southwark,Rotherhithe,111.43,126.63,115.85,233.53,15.05,41.98,409.78,66.61,258.94,0.0,1379.8,1492.39,8.1,9.2,8.4,16.9,1.1,3.0,29.7,4.8,18.8,0.0,100.0,-7.54,0
525,00BEGU,Southwark,South Bermondsey,127.74,144.14,102.58,225.62,0.0,12.73,171.14,0.0,164.7,0.0,948.66,973.18,13.5,15.2,10.8,23.8,0.0,1.3,18.0,0.0,17.4,0.0,100.0,-2.52,0
526,00BEGW,Southwark,South Camberwell,157.98,334.65,71.39,211.31,21.86,14.27,376.47,0.0,135.14,0.0,1323.08,1331.47,11.9,25.3,5.4,16.0,1.7,1.1,28.5,0.0,10.2,0.0,100.0,-0.63,2
527,00BEGX,Southwark,Surrey Docks,126.23,159.61,144.17,266.22,0.0,31.09,307.2,212.27,299.61,0.0,1546.38,1901.13,8.2,10.3,9.3,17.2,0.0,2.0,19.9,13.7,19.4,0.0,100.0,-18.66,0
528,00BEGY,Southwark,The Lane,236.55,336.59,154.38,305.3,36.0,8.62,144.95,0.01,183.59,0.0,1406.0,1389.6,16.8,23.9,11.0,21.7,2.6,0.6,10.3,0.0,13.1,0.0,100.0,1.18,3
529,00BEGZ,Southwark,Village,296.74,906.33,79.68,392.11,30.12,11.25,856.6,19.36,201.38,0.0,2793.57,2788.27,10.6,32.4,2.9,14.0,1.1,0.4,30.7,0.7,7.2,0.0,100.0,0.19,2
530,00BFGC,Sutton,Beddington North,233.33,714.2,333.06,360.77,53.52,19.6,2132.6,142.43,1009.49,0.0,4999.02,4979.58,4.7,14.3,6.7,7.2,1.1,0.4,42.7,2.8,20.2,0.0,100.0,0.39,4
531,00BFGD,Sutton,Beddington South,248.48,1070.51,75.69,353.7,0.0,10.42,1278.47,0.11,186.11,0.0,3223.48,3061.07,7.7,33.2,2.3,11.0,0.0,0.3,39.7,0.0,5.8,0.0,100.0,5.31,4
532,00BFGE,Sutton,Belmont,254.73,1204.81,68.0,317.77,9.92,8.46,342.57,0.08,124.89,0.0,2331.23,2337.1,10.9,51.7,2.9,13.6,0.4,0.4,14.7,0.0,5.4,0.0,100.0,-0.25,2
533,00BFGF,Sutton,Carshalton Central,231.63,798.25,73.47,280.72,15.07,12.72,466.92,14.9,123.04,0.0,2016.7,2026.59,11.5,39.6,3.6,13.9,0.7,0.6,23.2,0.7,6.1,0.0,100.0,-0.49,2
534,00BFGG,Sutton,Carshalton South and Clockhouse,280.21,1417.68,50.19,390.22,10.29,17.09,4724.68,0.16,151.95,0.0,7042.46,7055.96,4.0,20.1,0.7,5.5,0.1,0.2,67.1,0.0,2.2,0.0,100.0,-0.19,4
535,00BFGH,Sutton,Cheam,354.28,1983.12,62.96,454.87,12.84,13.76,947.6,0.67,112.54,0.0,3942.65,3937.73,9.0,50.3,1.6,11.5,0.3,0.3,24.0,0.0,2.9,0.0,100.0,0.12,2
536,00BFGJ,Sutton,Nonsuch,246.66,1019.84,64.99,264.95,0.0,9.92,179.76,0.58,119.19,0.0,1905.89,1906.44,12.9,53.5,3.4,13.9,0.0,0.5,9.4,0.0,6.3,0.0,100.0,-0.03,2
537,00BFGK,Sutton,St Helier,180.09,545.59,49.38,258.14,18.51,12.53,347.46,0.5,98.25,0.0,1510.46,1499.68,11.9,36.1,3.3,17.1,1.2,0.8,23.0,0.0,6.5,0.0,100.0,0.72,2
538,00BFGL,Sutton,Stonecot,218.03,764.77,79.27,293.39,0.0,27.29,421.03,2.66,170.2,0.0,1976.64,1981.02,11.0,38.7,4.0,14.8,0.0,1.4,21.3,0.1,8.6,0.0,100.0,-0.22,2
539,00BFGM,Sutton,Sutton Central,188.76,315.64,192.98,269.92,1.84,20.55,149.98,0.27,173.91,0.0,1313.86,1309.55,14.4,24.0,14.7,20.5,0.1,1.6,11.4,0.0,13.2,0.0,100.0,0.33,0
540,00BFGN,Sutton,Sutton North,209.6,721.51,53.4,277.07,3.57,18.4,461.85,5.78,112.51,0.0,1863.7,1874.95,11.2,38.7,2.9,14.9,0.2,1.0,24.8,0.3,6.0,0.0,100.0,-0.6,2
541,00BFGP,Sutton,Sutton South,174.57,542.74,64.24,185.47,22.52,4.89,167.77,0.0,117.32,0.0,1279.51,1272.2,13.6,42.4,5.0,14.5,1.8,0.4,13.1,0.0,9.2,0.0,100.0,0.57,2
542,00BFGQ,Sutton,Sutton West,223.02,670.46,54.02,254.88,39.15,10.53,420.9,0.0,106.68,0.0,1779.63,1779.05,12.5,37.7,3.0,14.3,2.2,0.6,23.7,0.0,6.0,0.0,100.0,0.03,2
543,00BFGR,Sutton,The Wrythe,185.08,631.03,53.86,225.16,19.56,6.06,242.77,14.64,112.34,0.0,1490.51,1482.08,12.4,42.3,3.6,15.1,1.3,0.4,16.3,1.0,7.5,0.0,100.0,0.57,2
544,00BFGS,Sutton,Wallington North,210.89,630.68,52.0,244.88,3.33,17.77,322.13,20.72,102.93,0.0,1605.34,1616.77,13.1,39.3,3.2,15.3,0.2,1.1,20.1,1.3,6.4,0.0,100.0,-0.71,2
545,00BFGT,Sutton,Wallington South,236.37,801.45,73.33,259.56,15.17,13.09,193.06,0.15,129.26,0.0,1721.45,1719.3,13.7,46.6,4.3,15.1,0.9,0.8,11.2,0.0,7.5,0.0,100.0,0.12,2
546,00BFGU,Sutton,Wandle Valley,185.34,512.06,109.76,245.98,1.6,22.27,804.93,21.27,150.29,0.0,2053.5,2054.72,9.0,24.9,5.3,12.0,0.1,1.1,39.2,1.0,7.3,0.0,100.0,-0.06,4
547,00BFGW,Sutton,Worcester Park,221.7,827.91,51.28,240.62,0.0,15.12,498.82,1.39,97.43,0.0,1954.27,1957.05,11.3,42.4,2.6,12.3,0.0,0.8,25.5,0.1,5.0,0.0,100.0,-0.14,2
548,00BGFW,Tower Hamlets,Bethnal Green North,94.16,96.74,147.99,201.9,1.24,6.25,105.63,11.11,147.44,0.0,812.46,822.84,11.6,11.9,18.2,24.9,0.2,0.8,13.0,1.4,18.1,0.0,100.0,-1.26,0
549,00BGFX,Tower Hamlets,Bethnal Green South,96.7,92.84,109.54,201.17,61.45,13.51,167.62,0.0,149.54,0.0,892.37,881.38,10.8,10.4,12.3,22.5,6.9,1.5,18.8,0.0,16.8,0.0,100.0,1.25,0
550,00BGFY,Tower Hamlets,Blackwall and Cubitt Town,133.59,153.86,275.51,450.85,25.76,25.21,431.23,4772.82,555.15,0.0,6823.97,2966.85,2.0,2.3,4.0,6.6,0.4,0.4,6.3,69.9,8.1,0.0,100.0,130.01,1
551,00BGFZ,Tower Hamlets,Bow East,141.0,126.34,224.27,348.67,24.56,18.47,577.59,56.79,314.44,0.0,1832.12,1858.26,7.7,6.9,12.2,19.0,1.3,1.0,31.5,3.1,17.2,0.0,100.0,-1.41,0
552,00BGGA,Tower Hamlets,Bow West,144.65,168.02,69.61,251.28,4.91,32.72,503.26,56.3,89.87,0.0,1320.62,1347.18,11.0,12.7,5.3,19.0,0.4,2.5,38.1,4.3,6.8,0.0,100.0,-1.97,0
553,00BGGB,Tower Hamlets,Bromley-by-Bow,82.25,101.51,168.07,214.46,15.79,6.82,155.49,47.04,283.9,0.0,1075.33,1074.15,7.6,9.4,15.6,19.9,1.5,0.6,14.5,4.4,26.4,0.0,100.0,0.11,0
554,00BGGC,Tower Hamlets,East India and Lansbury,122.88,116.57,138.1,299.96,7.63,19.87,262.17,11.16,200.29,0.0,1178.63,1224.22,10.4,9.9,11.7,25.4,0.6,1.7,22.2,0.9,17.0,0.0,100.0,-3.72,0
555,00BGGD,Tower Hamlets,Limehouse,98.29,131.08,134.44,248.95,33.97,15.72,150.21,33.59,220.24,0.0,1066.48,1141.83,9.2,12.3,12.6,23.3,3.2,1.5,14.1,3.1,20.7,0.0,100.0,-6.6,0
556,00BGGE,Tower Hamlets,Mile End and Globe Town,108.61,129.59,117.52,214.67,30.08,10.86,154.46,12.59,124.96,0.0,903.34,899.73,12.0,14.3,13.0,23.8,3.3,1.2,17.1,1.4,13.8,0.0,100.0,0.4,0
557,00BGGF,Tower Hamlets,Mile End East,87.29,99.66,94.73,210.53,299.4,9.1,338.06,10.54,194.78,0.0,1344.09,1070.01,6.5,7.4,7.0,15.7,22.3,0.7,25.2,0.8,14.5,0.0,100.0,25.61,0
558,00BGGG,Tower Hamlets,Millwall,135.37,155.78,363.77,342.17,23.63,13.08,170.11,283.35,527.1,0.0,2014.37,2458.42,6.7,7.7,18.1,17.0,1.2,0.6,8.4,14.1,26.2,0.0,100.0,-18.06,0
559,00BGGH,Tower Hamlets,St Dunstan's and Stepney Green,142.99,167.73,93.49,235.93,0.69,15.49,161.67,11.56,184.1,0.0,1013.65,1018.17,14.1,16.5,9.2,23.3,0.1,1.5,15.9,1.1,18.2,0.0,100.0,-0.44,0
560,00BGGJ,Tower Hamlets,St Katherine's and Wapping,96.22,53.6,230.07,222.07,2.47,16.43,167.09,107.06,294.75,0.0,1189.76,1505.69,8.1,4.5,19.3,18.7,0.2,1.4,14.0,9.0,24.8,0.0,100.0,-20.98,0
561,00BGGK,Tower Hamlets,Shadwell,68.06,63.07,126.39,181.2,1.07,5.19,101.06,72.65,228.51,0.0,847.19,962.7,8.0,7.4,14.9,21.4,0.1,0.6,11.9,8.6,27.0,0.0,100.0,-12.0,0
562,00BGGL,Tower Hamlets,Spitalfields and Banglatown,85.13,34.72,180.64,157.76,0.0,3.78,38.47,0.0,141.98,0.0,642.47,638.4,13.3,5.4,28.1,24.6,0.0,0.6,6.0,0.0,22.1,0.0,100.0,0.64,0
563,00BGGM,Tower Hamlets,Weavers,99.04,60.18,107.69,190.15,9.87,12.5,182.74,0.07,114.33,0.0,776.56,778.76,12.8,7.7,13.9,24.5,1.3,1.6,23.5,0.0,14.7,0.0,100.0,-0.28,0
564,00BGGN,Tower Hamlets,Whitechapel,106.98,62.61,218.67,256.03,32.01,8.54,84.26,0.0,174.44,0.0,943.54,917.85,11.3,6.6,23.2,27.1,3.4,0.9,8.9,0.0,18.5,0.0,100.0,2.8,0
565,00BHFX,Waltham Forest,Cann Hall,208.36,274.23,40.26,203.92,0.0,4.59,60.27,0.23,56.94,0.0,848.81,859.86,24.5,32.3,4.7,24.0,0.0,0.5,7.1,0.0,6.7,0.0,100.0,-1.28,3
566,00BHFY,Waltham Forest,Cathall,170.66,242.84,48.46,215.82,29.6,17.28,238.9,0.42,87.31,0.0,1051.28,1056.63,16.2,23.1,4.6,20.5,2.8,1.6,22.7,0.0,8.3,0.0,100.0,-0.51,3
567,00BHFZ,Waltham Forest,Chapel End,228.52,515.21,86.06,268.87,0.0,11.43,592.1,3.71,138.43,0.0,1844.34,1841.7,12.4,27.9,4.7,14.6,0.0,0.6,32.1,0.2,7.5,0.0,100.0,0.14,2
568,00BHGA,Waltham Forest,Chingford Green,251.97,833.19,60.79,302.24,11.86,9.12,2185.36,9.52,130.95,0.0,3795.01,3727.77,6.6,22.0,1.6,8.0,0.3,0.2,57.6,0.3,3.5,0.0,100.0,1.8,4
569,00BHGB,Waltham Forest,Endlebury,253.5,873.41,35.01,265.47,0.0,12.73,429.04,54.55,79.39,0.0,2003.1,1959.2,12.7,43.6,1.7,13.3,0.0,0.6,21.4,2.7,4.0,0.0,100.0,2.24,2
570,00BHGC,Waltham Forest,Forest,220.53,408.02,102.3,258.52,3.17,16.61,767.67,85.32,114.17,0.0,1976.32,1985.0,11.2,20.6,5.2,13.1,0.2,0.8,38.8,4.3,5.8,0.0,100.0,-0.44,4
571,00BHGD,Waltham Forest,Grove Green,227.74,321.44,38.97,225.56,1.14,3.84,38.08,0.0,40.12,0.0,896.9,897.97,25.4,35.8,4.3,25.1,0.1,0.4,4.2,0.0,4.5,0.0,100.0,-0.12,3
572,00BHGE,Waltham Forest,Hale End and Highams Park,221.35,601.32,73.72,308.79,24.75,10.11,1009.16,7.68,109.09,0.0,2365.98,2349.54,9.4,25.4,3.1,13.1,1.0,0.4,42.7,0.3,4.6,0.0,100.0,0.7,4
573,00BHGF,Waltham Forest,Hatch Lane,228.09,764.69,46.42,299.12,20.12,9.61,892.68,36.0,90.66,0.0,2387.39,2418.22,9.6,32.0,1.9,12.5,0.8,0.4,37.4,1.5,3.8,0.0,100.0,-1.28,2
574,00BHGG,Waltham Forest,High Street,217.65,299.21,114.29,232.49,35.22,17.87,927.56,879.24,315.93,0.0,3039.46,3061.36,7.2,9.8,3.8,7.6,1.2,0.6,30.5,28.9,10.4,0.0,100.0,-0.72,1
575,00BHGH,Waltham Forest,Higham Hill,203.06,475.3,154.75,302.9,0.0,14.78,906.03,1029.03,152.9,0.0,3238.76,3222.43,6.3,14.7,4.8,9.4,0.0,0.5,28.0,31.8,4.7,0.0,100.0,0.51,1
