,Area Code,Local Authority Name,Area name,Area of Domestic Buildings,Area of Domestic Gardens,Area of Non Domestic Buildings,Area of Road,Area of Rail,Area of Path,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Total Area of All Land Types,Area of Admin Geography,% Area of Domestic Buildings,% Area of Domestic Gardens,% Area of Non Domestic Buildings,% Area of Road,% Area of Rail,% Area of Path,% Area of Greenspace,% Area of Water,% Area of Other Land Uses,% Area of Unclassified Land,% Total Area of All Land Types,Quality of Fit Indicator,Cluster
399,00AYGH,Lambeth,Knight's Hill,254.8,504.62,80.04,270.71,32.83,6.3,234.13,0.0,103.34,0.0,1486.78,1472.71,17.1,33.9,5.4,18.2,2.2,0.4,15.7,0.0,7.0,0.0,100.0,0.96,2
400,00AYGJ,Lambeth,Larkhall,170.65,207.97,108.0,225.78,29.27,10.18,180.54,0.21,136.81,0.0,1069.42,1058.72,16.0,19.4,10.1,21.1,2.7,1.0,16.9,0.0,12.8,0.0,100.0,1.01,3
401,00AYGK,Lambeth,Oval,146.66,154.48,162.08,256.18,2.26,23.42,256.24,0.26,215.19,0.0,1216.78,1275.21,12.1,12.7,13.3,21.1,0.2,1.9,21.1,0.0,17.7,0.0,100.0,-4.58,0
402,00AYGL,Lambeth,Prince's,123.15,110.8,169.6,245.23,22.02,13.17,188.51,22.6,171.49,0.0,1066.58,1161.64,11.5,10.4,15.9,23.0,2.1,1.2,17.7,2.1,16.1,0.0,100.0,-8.18,0
403,00AYGM,Lambeth,St Leonard's,258.85,575.57,103.75,266.43,19.89,6.49,108.01,0.07,89.17,0.0,1428.25,1448.68,18.1,40.3,7.3,18.7,1.4,0.5,7.6,0.0,6.2,0.0,100.0,-1.41,3
404,00AYGN,Lambeth,Stockwell,140.28,212.61,80.53,196.47,0.0,13.0,113.68,0.0,106.76,0.0,863.34,868.53,16.2,24.6,9.3,22.8,0.0,1.5,13.2,0.0,12.4,0.0,100.0,-0.6,3
405,00AYGP,Lambeth,Streatham Hill,239.6,468.63,59.08,266.67,2.68,4.71,135.56,0.28,85.31,0.0,1262.51,1272.62,19.0,37.1,4.7,21.1,0.2,0.4,10.7,0.0,6.8,0.0,100.0,-0.8,3
406,00AYGQ,Lambeth,Streatham South,257.05,581.27,43.59,303.69,39.55,15.84,394.93,5.92,72.32,0.0,1714.16,1698.39,15.0,33.9,2.5,17.7,2.3,0.9,23.0,0.3,4.2,0.0,100.0,0.93,2
407,00AYGR,Lambeth,Streatham Wells,231.88,531.28,75.41,237.11,3.12,12.39,233.91,1.04,102.75,0.0,1428.89,1451.36,16.2,37.2,5.3,16.6,0.2,0.9,16.4,0.1,7.2,0.0,100.0,-1.55,2
408,00AYGS,Lambeth,Thornton,182.67,320.71,67.04,218.77,0.0,17.31,168.09,0.16,108.34,0.0,1083.09,1082.61,16.9,29.6,6.2,20.2,0.0,1.6,15.5,0.0,10.0,0.0,100.0,0.04,3
409,00AYGT,Lambeth,Thurlow Park,252.88,512.46,55.23,298.37,0.0,10.92,273.51,0.0,83.25,0.0,1486.63,1514.6,17.0,34.5,3.7,20.1,0.0,0.7,18.4,0.0,5.6,0.0,100.0,-1.85,2
410,00AYGU,Lambeth,Tulse Hill,182.54,269.82,62.11,212.7,0.0,14.38,150.7,0.14,132.52,0.0,1024.92,1029.4,17.8,26.3,6.1,20.8,0.0,1.4,14.7,0.0,12.9,0.0,100.0,-0.44,3
411,00AYGW,Lambeth,Vassall,165.88,237.14,111.49,235.95,0.11,21.13,210.51,0.06,148.11,0.0,1130.37,1129.43,14.7,21.0,9.9,20.9,0.0,1.9,18.6,0.0,13.1,0.0,100.0,0.08,0
412,00AZGD,Lewisham,Bellingham,254.54,673.95,81.46,388.57,46.22,35.54,1400.23,16.94,183.84,0.0,3081.28,3084.77,8.3,21.9,2.6,12.6,1.5,1.2,45.4,0.5,6.0,0.0,100.0,-0.11,4
413,00AZGE,Lewisham,Blackheath,221.07,641.15,102.17,351.35,9.5,14.02,814.14,5.7,143.99,0.0,2303.09,2312.53,9.6,27.8,4.4,15.3,0.4,0.6,35.3,0.2,6.3,0.0,100.0,-0.41,2
414,00AZGF,Lewisham,Brockley,251.59,535.66,105.37,329.14,33.69,11.05,248.92,9.52,138.97,0.0,1663.9,1686.16,15.1,32.2,6.3,19.8,2.0,0.7,15.0,0.6,8.4,0.0,100.0,-1.32,2
415,00AZGG,Lewisham,Catford South,325.31,964.31,68.81,330.28,12.71,4.44,66.69,4.07,97.53,0.0,1874.15,1867.59,17.4,51.5,3.7,17.6,0.7,0.2,3.6,0.2,5.2,0.0,100.0,0.35,2
416,00AZGH,Lewisham,Crofton Park,289.31,587.11,68.75,298.49,48.02,14.98,339.4,0.51,81.82,0.0,1728.4,1721.37,16.7,34.0,4.0,17.3,2.8,0.9,19.6,0.0,4.7,0.0,100.0,0.41,2
417,00AZGJ,Lewisham,Downham,243.75,804.08,74.22,358.37,0.79,13.51,748.44,13.48,116.55,0.0,2373.2,2389.07,10.3,33.9,3.1,15.1,0.0,0.6,31.5,0.6,4.9,0.0,100.0,-0.66,2
418,00AZGK,Lewisham,Evelyn,138.25,166.37,233.18,253.78,14.47,28.95,380.6,27.74,384.58,0.0,1627.92,1773.65,8.5,10.2,14.3,15.6,0.9,1.8,23.4,1.7,23.6,0.0,100.0,-8.22,0
419,00AZGL,Lewisham,Forest Hill,233.0,744.46,90.47,318.43,5.83,12.94,267.96,0.37,150.86,0.0,1824.32,1827.8,12.8,40.8,5.0,17.5,0.3,0.7,14.7,0.0,8.3,0.0,100.0,-0.19,2
420,00AZGM,Lewisham,Grove Park,289.53,919.93,40.29,351.14,235.71,21.66,563.06,4.27,133.23,0.0,2558.83,2392.41,11.3,36.0,1.6,13.7,9.2,0.8,22.0,0.2,5.2,0.0,100.0,6.96,2
421,00AZGN,Lewisham,Ladywell,257.91,525.49,33.68,288.35,9.58,35.78,399.63,1.11,51.94,0.0,1603.46,1608.62,16.1,32.8,2.1,18.0,0.6,2.2,24.9,0.1,3.2,0.0,100.0,-0.32,2
422,00AZGP,Lewisham,Lee Green,281.84,677.33,70.51,333.41,7.39,12.87,219.3,10.89,105.96,0.0,1719.5,1809.13,16.4,39.4,4.1,19.4,0.4,0.7,12.8,0.6,6.2,0.0,100.0,-4.95,2
