"priceper","year","dateoftransfer","propertytype","duration","price","postcode","lad23cd","transactionid","lmk_key","tfarea","numberrooms","classt","CURRENT_ENERGY_EFFICIENCY","POTENTIAL_ENERGY_EFFICIENCY","CONSTRUCTION_AGE_BAND"
6510.41666666667,2003,2003-09-04,"F","L",275000,"EC4V 5DE","E09000001","{929F51E1-B755-4A4B-94D3-73A1EE039097}","155149031412008100517494008089358",42.24,3,11,65,74,"England and Wales: before 1900"
5918.56060606061,1998,1998-02-16,"F","L",250000,"EC4V 5DE","E09000001","{D857E65A-090B-4271-A29C-2B1E5513C4EE}","155149031412008100517494008089358",42.24,3,11,65,74,"England and Wales: before 1900"
17856.2973484848,2014,2014-09-24,"F","L",754250,"EC4V 5DE","E09000001","{06C6314D-5FE5-416A-8461-91E83D1FD6E1}","155149031412008100517494008089358",42.24,3,11,65,74,"England and Wales: before 1900"
3119.8003327787,2003,2003-10-10,"F","L",300000,"E1 8RB","E09000001","{DBA21BB7-E277-46B8-BC1C-8CED75898FDE}","542741309842010092017173384002808",96.16,3,11,65,81,"England and Wales: 1983-1990"
7626.37362637363,2007,2007-11-30,"F","L",347000,"E1 8RB","E09000001","{79A9440B-753F-4981-BDF0-5F0859E6E626}","542025489962010091821232419088420",45.5,2,12,77,81,"England and Wales: 1983-1990"
2967.03296703297,1999,1999-08-11,"F","L",135000,"E1 8RB","E09000001","{270136DD-19D6-45C4-8F48-4AC81FA32503}","542025489962010091821232419088420",45.5,2,12,77,81,"England and Wales: 1983-1990"
3649.63503649635,2000,2000-03-06,"F","L",160000,"EC4R 0AW","E09000001","{6CB05A37-173C-4F2D-B4B0-21A9CB268879}","512764589702010071307381976709028",43.84,2,11,75,78,"England and Wales: 1967-1975"
6341.24087591241,2006,2006-05-19,"F","L",278000,"EC4R 0AW","E09000001","{4088C098-9F5A-43E9-8BDB-5E2BFB7A306D}","512764589702010071307381976709028",43.84,2,11,75,78,"England and Wales: 1967-1975"
5930.65693430657,2004,2004-06-30,"F","L",260000,"EC4R 0AW","E09000001","{BDBA1088-EA87-42DA-94EF-8E349E80C0B4}","512764589702010071307381976709028",43.84,2,11,75,78,"England and Wales: 1967-1975"
6293.10344827586,2011,2011-02-04,"F","L",730000,"EC3A 5BZ","E09000001","{C6A7D7ED-626E-435B-B94D-88D1D37B1F90}","31144d2a9c9c8eae8251135f0e96b8c4df2760d7d9e2eb965322ed6eba74ff4f",116,3,11,65,75,"England and Wales: 1900-1929"
14693.8775510204,2018,2018-01-03,"F","L",720000,"EC2Y 5AG","E09000001","{64342BFD-AE68-422C-E053-6C04A8C0FB8A}","1185956498812014080615200594040125",49,NA,11,85,85,"NO DATA!"
12959.1836734694,2015,2015-02-02,"F","L",635000,"EC2Y 5AG","E09000001","{0D2228AA-ABAB-41D8-9E27-2F913DF1CAEE}","1185956498812014080615200594040125",49,NA,11,85,85,"NO DATA!"
5567.01030927835,2006,2006-05-23,"F","L",540000,"EC4R 0DR","E09000001","{7B9D35E3-4014-438A-9DA6-D70589DD96E0}","745840469762012020116243705808692",97,3,12,83,83,"England and Wales: 2003-2006"
7989.69072164948,2012,2012-03-20,"F","L",775000,"EC4R 0DR","E09000001","{68FEC479-A454-421E-9594-35FFB557DD8E}","745840469762012020116243705808692",97,3,12,83,83,"England and Wales: 2003-2006"
3518.42592592593,1999,1999-06-30,"F","L",189995,"EC4V 3PL","E09000001","{CF3DEA2E-2183-4F4F-B553-9425C0114EFC}","1416094413612016022219000197260649",54,2,11,74,75,"England and Wales: 1996-2002"
6666.66666666667,2007,2007-08-24,"F","L",360000,"EC4V 3PL","E09000001","{A91886D2-4B2C-46DC-8BC6-0F61FB2639C1}","1416094413612016022219000197260649",54,2,11,74,75,"England and Wales: 1996-2002"
9719.1011235955,2019,2019-08-09,"F","L",865000,"EC4A 1DT","E09000001","{93E6821D-E579-40FD-E053-6B04A8C0C1DF}","a0d487fe6c74d5f940206c2029701d1bc265161de0a1017ee4b4358f7d0b1c89",89,4,12,42,58,"England and Wales: before 1900"
12765.9574468085,2014,2014-12-18,"F","L",600000,"EC2Y 5AG","E09000001","{B9882E14-6268-400D-B917-AE1C6B9F5B7A}","1185909589022014080615173676658804",47,NA,11,85,85,"NO DATA!"
13797.4683544304,2015,2015-01-15,"F","L",1090000,"EC2Y 5AG","E09000001","{60564F51-801E-4339-A5E5-63DAEAB05AC0}","1185950948852014080615223694040124",79,NA,12,88,88,"NO DATA!"
15104.1666666667,2015,2015-01-22,"F","L",725000,"EC2Y 5AG","E09000001","{52451719-E238-4F86-9F03-448919CD8CF5}","1186418149442014080615192725640258",48,NA,11,84,84,"NO DATA!"
